variable,source,description,camels,nan_rate
NETNIX,FTS,NET NONINTEREST EXPENSE,M,0.0032
NIM,FTS,NET INTEREST INCOME,E,0.0032
NONII,FTS,TOTAL NONINTEREST INCOME,E,0.0032
NONIX,FTS,TOTAL NONINTEREST EXPENSE,M,0.0032
NTAGSM,FTS,AG LN NET CHARGE-OFFS*SMALL BKS,A,0.0186
NTCI,FTS,COMMERCIAL LOAN NET CHARGE-OFFS,A,0.0032
NTCIUS,FTS,U.S. COMMERCIAL LN NET CHG-OFFS,UNASSIGNED,0.0032
NTCOMRE,FTS,COMMERCIAL RE LN NET CHARGE-OFFS,A,0.0032
NTCON,FTS,CONSUMER LOAN NET CHARGE-OFFS,A,0.0032
NTCONOTH,FTS,OTHER CONSUMER LN NET CHARGE-OFF,A,0.0032
NTCRCD,FTS,CREDIT CARD LOAN NET CHARGE-OFFS,A,0.0032
NTLNLS,FTS,TOTAL LN&LS NET CHARGE-OFFS,A,0.0032
NTLS,FTS,LEASE NET CHARGE-OFFS,A,0.0032
NTOTHER,FTS,ALL OTHER LOAN NET CHARGE-OFFS,A,0.0032
NTR,FTS,NONTRANSACTION-TOTAL,UNASSIGNED,0.0
NTRCDSM,FTS,TIME CDS & OPEN UNDER $100M,UNASSIGNED,0.0032
NTRCOMOT,FTS,NONTRANSACTN-COM BKS & OTH U.S.,UNASSIGNED,0.0
NTRE,FTS,REAL ESTATE LOAN NET CHARGE-OFFS,A,0.0032
NTREAG,FTS,FARMLAND RE LN NET CHARGE-OFFS,A,0.0032
NTRECONS,FTS,CONSTRUCTION RE LN NET CHG-OFFS,UNASSIGNED,0.0032
NTRELOC,FTS,LINE OF CREDIT RE LN NET CHG-OFF,UNASSIGNED,0.0032
NTREMULT,FTS,MULTIFAMLY RES RE LN NET CHG-OFF,UNASSIGNED,0.0032
NTRENRES,FTS,NONFARM NONRES RE LN NET CHG-OFF,UNASSIGNED,0.0032
NTREOT,FTS,RE LOANS-OTHER NET CHARGE-OFFS,A,0.0032
NTREOTH,FTS,RESIDENTIAL RE LN NET CHG-OFFS,UNASSIGNED,0.0032
NTRERES,FTS,RE LOANS 1-4 FAMILY NET CHG-OFFS,UNASSIGNED,0.0032
NTRERSF2,FTS,RE LN 1-4 FAM JR LIEN-NET C/OFF,UNASSIGNED,0.0032
NTRERSFM,FTS,RE LN 1-4FAM IST LIEN-NET C/OFF,UNASSIGNED,0.0032
NTREUS,FTS,U.S. RE LN NET CHARGE-OFFS,A,0.0032
NTRFC,FTS,NONTRANSACTION-FOR COUNTRY,UNASSIGNED,0.0
NTRFCFG,FTS,NONTRANSACTION-FOR CNTRY & GOVT,UNASSIGNED,0.0
NTRFG,FTS,NONTRANSACTION-FOR GOVERNMENT,UNASSIGNED,0.0
NTRINDMM,FTS,MMDA-INDIVIDUAL-PHF USE,UNASSIGNED,0.1804
NTRINDS,FTS,OTH SAVING DEP-INDIVID-PHF USE,UNASSIGNED,0.1804
NTRIPC,FTS,NONTRANSACTION-IPC,UNASSIGNED,0.0
NTRIPCMO,FTS,MMDA ACC-IPC-ALL OTHER,UNASSIGNED,0.1804
NTRIPCSO,FTS,SAVINGS DEP ACC-IPC-ALL OTHER,UNASSIGNED,0.1804
NTRMUNI,FTS,NONTRANSACTION-MUNI,UNASSIGNED,0.0032
NTRSMMDA,FTS,SAVINGS DEP-MMDA,UNASSIGNED,0.0032
NTRSOTH,FTS,SAVINGS DEP-OTHER,UNASSIGNED,0.0032
NTRTIME,FTS,TIME DEPOSITS-TOTAL,L,0.0032
NTRTMLG,FTS,TIME DEPOSITS OVER $100M,L,0.0
NTRTMLGJ,FTS,TIME DEP OVER INSURANCE LIMIT,UNASSIGNED,0.0
NTRTMLGR,FTS,TIME DEP OVER $100M RETIREMENT,UNASSIGNED,0.0
NTRTMMED,FTS,TIME DEPOSITS - $100 TO $250M,L,0.0032
NTRUSGOV,FTS,NONTRANSACTION-U.S. GOVERNMENT,UNASSIGNED,0.0032
NTSCAFS,FTS,TOTAL DBT SEC-AFS-NET CHG-OFF,UNASSIGNED,0.3418
NTSCHTM,FTS,TOTAL DBT SEC-HTM-NET CHG-OFF,UNASSIGNED,0.3418
NTTOT,FTS,TOTAL LN & LS LOSS NET CHG-OFFS,UNASSIGNED,0.0032
NUMEMP,FTS,NUMBER OF FULL TIME EMPLOYEES,M,0.0032
OA,FTS,OTHER ASSETS,UNASSIGNED,0.0
OADEFTAX,FTS,NET DEFERRED INCOME TAXES,E,0.0032
OAIENC,FTS,INCOME EARNED NOT COLLECTED,E,0.0032
OALIFGEN,FTS,LIFE INS ASSETS - GENERAL ACC,UNASSIGNED,0.0032
OALIFHYB,FTS,LIFE INS ASSETS - HYBRID ACC,UNASSIGNED,0.0032
OALIFINS,FTS,LIFE INSURANCE ASSETS,UNASSIGNED,0.0032
OALIFSEP,FTS,LIFE INS ASSETS - SEPARATE ACC,S,0.0032
OAOTH,FTS,ALL OTHER ASSETS,UNASSIGNED,0.0032
OCCTI1L,FTS,OTC CR DER INV GRADE-1 YR OR LS,UNASSIGNED,0.0034
OCCTI1T5,FTS,OTC CR DER INV GRADE-1 TO 5 YR,UNASSIGNED,0.0034
OCCTIOV5,FTS,OTC CR DER INV GRADE-OVER 5 YR,UNASSIGNED,0.0034
OCCTS1L,FTS,OTC CR DER NON-INV GR-1 YR LS,UNASSIGNED,0.0034
OCCTS1T5,FTS,OTC CR DER NON-INV GR-1 TO 5 YR,UNASSIGNED,0.0034
OCCTSOV5,FTS,OTC CR DER NON-INV GR-OVER 5 YR,UNASSIGNED,0.0034
OCED1L,FTS,OTC EQUITY DER -1 YR OR LES,C,0.0034
OCED1T5,FTS,OTC EQUITY DER -1 TO 5 YR,C,0.0034
OCEDOV5,FTS,OTC EQUITY DER - OVER 5 YR,C,0.0034
OCFXG1L,FTS,OTC FGN EXCH & GOLD-1 YR OR LS,UNASSIGNED,0.0034
OCFXG1T5,FTS,OTC FGN EXCH & GOLD-1 TO 5 YR,UNASSIGNED,0.0034
OCFXGOV5,FTS,OTC FGN EXCH & GOLD - OVER 5 YR,UNASSIGNED,0.0034
OCOTH1L,FTS,OTC OTHER DER - 1 YR OR LES,UNASSIGNED,0.0034
OCOTH1T5,FTS,OTC OTHER DER - 1 TO 5 YR,UNASSIGNED,0.0034
OCOTHOV5,FTS,OTC OTHER DER - OVER 5 YR,UNASSIGNED,0.0034
OCPM1L,FTS,OTC PREC METAL DER -1 YR OR LES,UNASSIGNED,0.0034
OCPM1T5,FTS,OTC PREC METAL DER -1 TO 5 YR,UNASSIGNED,0.0034
OCPMOV5,FTS,OTC PREC METAL DER -OVER 5 YR,UNASSIGNED,0.0034
OCRT1L,FTS,OTC INT RATE CONT-1 YR OR LESS,S,0.0034
OCRT1T5,FTS,OTC INT RATE CONT-1 TO 5 YR,S,0.0034
OCRTOV5,FTS,OTC INT RATE CONT- OVER 5 YR,S,0.0034
OFARES,FTS,ALLOW CR LOSS-OTHER FIN ASSETS,UNASSIGNED,0.3418
OL,FTS,OTHER LIABILITIES,UNASSIGNED,0.0
OLDEFTAX,FTS,NET DEFERRED INCOME TAXES,E,0.0032
OLINT,FTS,EXPENSES ACCRUED & UNPAID,M,0.0032
OLINTLN,FTS,INTEREST ACCRUED & UNPAID,UNASSIGNED,0.0032
OLINTOTH,FTS,OTHER EXPENSES ACCRUED & UNPAID,M,0.0032
OLMIN,FTS,OTHER LIAB & MINOR IN SUBS,UNASSIGNED,0.0
OLOL,FTS,ALL OTHER LIABILITIES,UNASSIGNED,0.0032
OLRSCLOB,FTS,ALLOW FOR CREDIT LOSSES - OB,UNASSIGNED,0.0032
ONVMK,FTS,OTH DER-MARKED-TO-MARKET,S,0.0001
ORE,FTS,OTHER REAL ESTATE OWNED,UNASSIGNED,0.0032
OREAG,FTS,ALL OTHER RE OWNED-FARMLAND,UNASSIGNED,0.0032
ORECONS,FTS,ALL OTHER RE OWNED-CONST,UNASSIGNED,0.0032
OREMULT,FTS,ALL OTHER RE OWNED-MULTI,UNASSIGNED,0.0032
ORENRES,FTS,ALL OTHER RE OWNED-NONFARM,UNASSIGNED,0.0032
OREOTH,FTS,OTHER REAL ESTATE OWNED,UNASSIGNED,0.0032
OREOTHD,FTS,OTHER REAL ESTATE OWNED-DOM,UNASSIGNED,0.0032
ORERES,FTS,ALL OTHER RE OWNED-1-4 FAMILY,UNASSIGNED,0.0032
OTBFH1L,FTS,OTH BOR FHLB MAT/REPR-1 YR LESS,UNASSIGNED,0.0032
OTBFH1T3,FTS,OTH BOR FHLB MAT/REPR-1 TO 3 YR,UNASSIGNED,0.0032
OTBFH3T5,FTS,OTH BOR FHLB MAT/REPR-3 TO 5 YR,UNASSIGNED,0.0032
OTBFHOV5,FTS,OTH BOR FHLB MAT/REPR-OVER 5 YR,UNASSIGNED,0.0032
OTBFHSTA,FTS,OTH BOR FHLB - STRUCT ADVANCES,UNASSIGNED,0.0032
OTBOT1L,FTS,OTH BORROWINGS MAT/REPR-1 YR LES,L,0.0032
OTBOT1T3,FTS,OTH BORROWING MAT/REPR-1 TO 3 YR,L,0.0032
OTBOT3T5,FTS,OTH BORROWING MAT/REPR-3 TO 5 YR,L,0.0032
OTBOTJ,FTS,OTHER BORROW - EXCL FHLB & OTH,L,0.0
OTBOTOV5,FTS,OTH BORROWING MAT/REPR-OVER 5 YR,L,0.0032
OTCD0,FTS,OTC DERIVATIVES - 0% RW,S,0.0034
OTCD10,FTS,OTC DERIVATIVES - 10% RW,S,0.0034
OTCD100,FTS,OTC DERIVATIVES - 100% RW,S,0.0034
OTCD150,FTS,OTC DERIVATIVES - 150% RW,S,0.0034
OTCD2,FTS,OTC DERIVATIVES - 2% RW,S,0.1212
OTCD20,FTS,OTC DERIVATIVES - 20% RW,S,0.0034
OTCD4,FTS,OTC DERIVATIVES - 4% RW,S,0.1212
OTCD50,FTS,OTC DERIVATIVES - 50% RW,S,0.0034
OTCDCEA,FTS,OTC DERIVATIVES-C.E. AMT,S,0.0034
OTCDOCE,FTS,OTC DERIVATIVES - OTH AP-CE AMT,S,0.0034
OTCDORW,FTS,OTC DERIVATIVES - OTH AP-RW AMT,S,0.0034
OTHA0,FTS,ALL OTHER ASSETS - 0% RW,UNASSIGNED,0.0034
OTHA100,FTS,ALL OTHER ASSETS - 100% RW,UNASSIGNED,0.0034
OTHA150,FTS,ALL OTHER ASSETS - 150% RW,UNASSIGNED,0.0034
OTHA2,FTS,ALL OTHER ASSETS - 2% RW,UNASSIGNED,0.1212
OTHA20,FTS,ALL OTHER ASSETS - 20% RW,UNASSIGNED,0.0034
OTHA250,FTS,ALL OTHER ASSETS - 250% RW,UNASSIGNED,0.234
OTHA300,FTS,ALL OTHER ASSETS - 300% RW,UNASSIGNED,0.0034
OTHA4,FTS,ALL OTHER ASSETS - 4% RW,UNASSIGNED,0.1212
OTHA400,FTS,ALL OTHER ASSETS - 400% RW,UNASSIGNED,0.0034
OTHA50,FTS,ALL OTHER ASSETS - 50% RW,UNASSIGNED,0.0034
OTHA600,FTS,ALL OTHER ASSETS - 600% RW,UNASSIGNED,0.0034
OTHANRW,FTS,ALL OTHER ASSETS - ADJ TO COL A,UNASSIGNED,0.0034
OTHAOEA,FTS,ALL OTH ASSETS-OTH APPR-EXP AMT,UNASSIGNED,0.0034
OTHAORW,FTS,ALL OTH ASSETS-OTH APPR-RWA AMT,UNASSIGNED,0.0034
OTHARCR,FTS,ALL OTHER ASSETS BS - RC-R COL A,UNASSIGNED,0.0034
OTHB1LES,FTS,OTHER BORROWED MONEY LT 1 YR,L,0.0032
OTHBFH1L,FTS,OTH BORR FHLB- 1 YR OR LESS,UNASSIGNED,0.0032
OTHBFHLB,FTS,OTHER LIABILITIES-FHLB,UNASSIGNED,0.0032
OTHBOR,FTS,OTHER BORROWED MONEY,L,0.0
OTHBORD,FTS,OTHER BORROWED MONEY-DOM,L,0.0
OTHBOT,FTS,OTHER BORROWED MONEY-TOTAL,L,0.0032
OTHBOT1L,FTS,OTH BORROWINGS -1 YEAR OR LESS,L,0.0032
OTHBOVR1,FTS,OTHER BORROWED MONEY GT 1 YR,L,0.0032
OTHBRMTG,FTS,OTH BOR MONEY AND MORTGAGE,UNASSIGNED,0.0032
OTHDERTR,FTS,OTH DER TOTAL-TRADE,UNASSIGNED,0.0001
OTHDFOEA,FTS,DEF FUND CONT-OTH APPR-EXP AMT,UNASSIGNED,0.0034
OTHDFORW,FTS,DEF FUND CONT-OTH APPR-RWA AMT,UNASSIGNED,0.0034
OTHLIOEA,FTS,SEP ACCT BOLI-OTH APPR-EXP AMT,UNASSIGNED,0.0034
OTHLIORW,FTS,SEP ACCT BOLI-OTH APPR-RWA AMT,UNASSIGNED,0.0034
OTHOB0,FTS,OTHER OFF-BALANCE LIAB - 0% RW,UNASSIGNED,0.0034
OTHOB100,FTS,OTHER OFF-BALANCE LIAB - 100% RW,UNASSIGNED,0.0034
OTHOB150,FTS,OTHER OFF-BALANCE LIAB - 150% RW,UNASSIGNED,0.0034
OTHOB20,FTS,OTHER OFF-BALANCE LIAB - 20% RW,UNASSIGNED,0.0034
OTHOB50,FTS,OTHER OFF-BALANCE LIAB - 50% RW,UNASSIGNED,0.0034
OTHOBCEA,FTS,OTHER OFF-BAL LIAB- C.E. AMT,UNASSIGNED,0.0034
OTHOBRCR,FTS,OTHER OFF-BAL LIAB-RC-R COL A,UNASSIGNED,0.0034
OTHOFBSA,FTS,ALL OTH OFF-BALANCE SHEET ASSETS,UNASSIGNED,0.0032
OTHOFFBS,FTS,ALL OTH OFF-BALANCE SHEET LIAB,UNASSIGNED,0.0032
OTIM1LES,FTS,TIME DEP 250 OR L * UNDER 1 YR,UNASSIGNED,0.0032
P3AGSM,FTS,30-89 DAYS P/D-AG LNS*SMALL BKS,UNASSIGNED,0.0186
P3ASSET,FTS,30-89 DAYS P/D-TOTAL ASSETS,UNASSIGNED,0.0
P3AUTO,FTS,30-89 DAYS P/D AUTO LOANS,UNASSIGNED,0.0032
P3CI,FTS,30-89 DAYS P/D-C&I LOANS,UNASSIGNED,0.0032
P3CIUS,FTS,30-89 DAYS P/D-C&I*U.S.,UNASSIGNED,0.0
P3COMRE,FTS,30-89 DAYS P/D-COMMERCIAL RE,UNASSIGNED,0.0032
P3CON,FTS,30-89 DAYS P/D-CONSUMER LOANS,UNASSIGNED,0.0032
P3CONOTH,FTS,30-89 DAYS P/D-OTHER CONSUMER,UNASSIGNED,0.0032
P3CRCD,FTS,30-89 DAYS P/D-CREDIT CARD PLANS,UNASSIGNED,0.0032
P3DEP,FTS,30-89 DAYS P/D-DEP INST LOANS,UNASSIGNED,0.0032
P3DEPUS,FTS,30-89 DAYS P/D-DEP INST*U.S.,UNASSIGNED,0.0032
P3GTY,FTS,30-89 DAYS P/D-GTY LN&LS,UNASSIGNED,0.0032
P3GTYGNM,FTS,30-89 DAY P/D-REBOOKED GNMA LNS,UNASSIGNED,0.0032
P3GTYPAR,FTS,30-89 DAYS P/D-PART GTY LN&LS,UNASSIGNED,0.0032
P3LGTY,FTS,30-89 P/D PROTECT (GTY)-LOSS SH,UNASSIGNED,0.169
P3LNIMPB,FTS,30-89 P/D OUTSTD BAL PUR IMP LN,UNASSIGNED,0.1786
P3LNIMPC,FTS,30-89 P/D CARRY AMT PUR IMP LN,UNASSIGNED,0.1786
P3LNLS,FTS,30-89 DAYS P/D-LOANS & LEASES,UNASSIGNED,0.0
P3LNSALE,FTS,30-89 DAYS P/D-L&L HELD FOR SALE,UNASSIGNED,0.0033
P3LS,FTS,30-89 DAYS P/D-LEASES,UNASSIGNED,0.0032
P3OTHLN,FTS,30-89 DAYS P/D-ALL OTHER LOANS,UNASSIGNED,0.0032
P3RE,FTS,30-89 DAYS P/D-REAL ESTATE LOANS,UNASSIGNED,0.0032
P3REAG,FTS,30-89 DAYS P/D-RE*FARMLAND,UNASSIGNED,0.0032
P3RECNFM,FTS,30-89 DAYS P/D 1-4 FAM CONSTR LN,UNASSIGNED,0.0032
P3RECNOT,FTS,30-89 DAYS P/D OTH CONSTR & LAND,UNASSIGNED,0.0032
P3RECONS,FTS,30-89 DAYS P/D-RE*CONSTRUCTION,UNASSIGNED,0.0032
P3RELOC,FTS,30-89 DAYS P/D-RE*1-4 FAM LINES,UNASSIGNED,0.0032
P3REMULT,FTS,30-89 DAYS P/D-RE*MULTIFAMILY,UNASSIGNED,0.0032
P3RENRES,FTS,30-89 DAYS P/D-RE*NONFARM NONRES,UNASSIGNED,0.0032
P3RENROT,FTS,30-89 DAYS P/D OTH NONFRM NONRES,UNASSIGNED,0.0032
P3RENROW,FTS,30-89 DAYS P/D 0WN-OCC NONF NONRS,UNASSIGNED,0.0032
P3RERES,FTS,30-89 DAYS P/D-RE*1-4 FAMILY,UNASSIGNED,0.0032
P3RERESO,FTS,30-89 DAYS P/D-RE*1-4 FAM OTHER,UNASSIGNED,0.0032
P3RERSF2,FTS,30-89 DAYS P/D-RE*1-4 JN LIEN,UNASSIGNED,0.0032
P3RERSFM,FTS,30-89 DAYS P/D-RE*1-4 IST LIEN,UNASSIGNED,0.0032
P3REUS,FTS,30-89 DAYS P/D-RE*U.S.,UNASSIGNED,0.0
P3RSAGSM,FTS,30-89 P/D LN MODS BRW EXP FIN DFCLTY - AG LN SM BK,UNASSIGNED,0.0186
P3RSAUTO,FTS,30-89 DAY P/D LN MODS TO BRWRS EXP FIN DFCLTY AUTO,UNASSIGNED,0.0033
P3RSCI,FTS,30-89 P/D LN MODS TO BRWRS EXP FIN DFCLTY - C&I LN,UNASSIGNED,0.0033
P3RSCIUS,FTS,30-89 P/D LN MODS BRWRS EXP FIN DFCLTY - C&I US,UNASSIGNED,0.0033
P3RSCNFM,FTS,30-89 P/D LN MODS BRW EXP FIN DFCLTY -1-4 FM CONST,UNASSIGNED,0.0033
P3RSCNOT,FTS,30-89 P/D LN MODS BRW EXP FIN DFCLTY-OTH CONST&LND,UNASSIGNED,0.0033
P3RSCONO,FTS,30-89 P/D LN MODS BRW EXP FIN DFCLTY - OTH CONSUMR,UNASSIGNED,0.0033
P3RSCRCD,FTS,30-89 P/D LN MODS BRWRS EXP FIN DFCLTY - CR CARD,UNASSIGNED,0.0033
P3RSLNFM,FTS,30-89 P/D LN MODS BRWRS EXP FIN DFCLTY - 1-4 FAM,UNASSIGNED,0.0033
P3RSLNLS,FTS,30-89 D P/D RESTR LN EXCL1-4 FM,UNASSIGNED,0.0033
P3RSLNTL,FTS,30-89 P/D LN MODS BRWRS EXP FIN DFCLTY - LN TOT,UNASSIGNED,0.1211
P3RSMULT,FTS,30-89 P/D LN MODS BRWRS EXP FIN DFCLTY - MULTIFAM,UNASSIGNED,0.0033
P3RSNROT,FTS,30-89 P/D LN MODS BRWR EXP FIN DFCLTY - OTHER NFNR,UNASSIGNED,0.0033
P3RSNROW,FTS,30-89 P/D LN MODS BRW EXP FIN DFCLTY -NFNR OWN-OCC,UNASSIGNED,0.0033
P3RSOTH,FTS,30-89 P/D LN MODS BRWR EXP FIN DFCLTY - ALL OTH LN,UNASSIGNED,0.0033
P3RSREAG,FTS,30-89 P/D LN MODS BRWRS EXP FIN DFCLTY - RE FARM,UNASSIGNED,0.0033
P3SCDEBT,FTS,30-89 DAYS P/D-DEBT SECURITIES,S,0.0032
P9AGSM,FTS,90+ DAYS P/D-AG LNS*SMALL BKS,UNASSIGNED,0.0186
P9ASSET,FTS,90+ DAYS P/D-TOTAL ASSETS,UNASSIGNED,0.0
P9AUTO,FTS,90+ DAYS P/D AUTO LOANS,UNASSIGNED,0.0032
P9CI,FTS,90+ DAYS P/D-C&I LOANS,UNASSIGNED,0.0032
P9CIUS,FTS,90+ DAYS P/D-C&I*U.S.,UNASSIGNED,0.0
P9COMRE,FTS,90+ DAYS P/D-COMMERCIAL RE,UNASSIGNED,0.0032
P9CON,FTS,90+ DAYS P/D-CONSUMER LOANS,UNASSIGNED,0.0032
P9CONOTH,FTS,90+ DAYS P/D-OTHER CONSUMER,UNASSIGNED,0.0032
P9CRCD,FTS,90+ DAYS P/D-CREDIT CARD PLANS,UNASSIGNED,0.0032
P9DEP,FTS,90+ DAYS P/D-DEP INST LOANS,UNASSIGNED,0.0032
P9DEPUS,FTS,90+ DAYS P/D-DEP INST*U.S.,UNASSIGNED,0.0032
P9GTY,FTS,90+ DAYS P/D-GTY LN&LS,UNASSIGNED,0.0032
P9GTYGNM,FTS,90+ DAYS P/D-REBOOKED GNMA LNS,UNASSIGNED,0.0032
P9GTYPAR,FTS,90+ DAYS P/D-PART GTY LN&LS,UNASSIGNED,0.0032
P9LGTY,FTS,90+ D P/D PROTECT (GTY)-LOSS SH,UNASSIGNED,0.0032
P9LNIMPB,FTS,90+ D P/D OUTSTD BAL PUR IMP LN,UNASSIGNED,0.1786
P9LNIMPC,FTS,90+ D P/D CARRY AMT PUR IMP LN,UNASSIGNED,0.1786
P9LNLS,FTS,90+ DAYS P/D-LOANS & LEASES,UNASSIGNED,0.0
P9LNSALE,FTS,90 DAYS P/D-L&L HELD FOR SALE,UNASSIGNED,0.0033
P9LS,FTS,90+ DAYS P/D-LEASES,UNASSIGNED,0.0032
P9OTHLN,FTS,90+ DAYS P/D-ALL OTHER LOANS,UNASSIGNED,0.0032
P9RE,FTS,90+ DAYS P/D-REAL ESTATE LOANS,UNASSIGNED,0.0032
P9REAG,FTS,90+ DAYS P/D-RE*FARMLAND,UNASSIGNED,0.0032
P9RECNFM,FTS,90+ DAYS P/D 1-4 FAM CONSTRUC LN,UNASSIGNED,0.0032
P9RECNOT,FTS,90+ DAYS P/D OTHER CONSTR & LAND,UNASSIGNED,0.0032
P9RECONS,FTS,90+ DAYS P/D-RE*CONSTRUCTION,UNASSIGNED,0.0032
P9RELOC,FTS,90+ DAYS P/D-RE*1-4 FAM LINES,UNASSIGNED,0.0032
P9REMULT,FTS,90+ DAYS P/D-RE*MULTIFAMILY,UNASSIGNED,0.0032
P9RENRES,FTS,90+ DAYS P/D-RE*NONFARM NONRES,UNASSIGNED,0.0032
P9RENROT,FTS,90+ DAYS P/D OTHER NONFRM NONRES,UNASSIGNED,0.0032
P9RENROW,FTS,90+ DAYS P/D 0WN-OCC NONFR NONRS,UNASSIGNED,0.0032
P9RERES,FTS,90+ DAYS P/D-RE*1-4 FAMILY,UNASSIGNED,0.0032
P9RERESO,FTS,90+ DAYS P/D-RE*1-4 FAM OTHER,UNASSIGNED,0.0032
P9RERSF2,FTS,90+ DAYS P/D-RE*1-4 JN LIEN,UNASSIGNED,0.0032
P9RERSFM,FTS,90+ DAYS P/D-RE*1-4 IST LIEN,UNASSIGNED,0.0032
P9REUS,FTS,90+ DAYS P/D-RE*U.S.,UNASSIGNED,0.0
P9RSAGSM,FTS,90+ P/D LN MODS BRWRS EXP FIN DFCLTY - AG LN SM BK,UNASSIGNED,0.0186
P9RSAUTO,FTS,90+ DAYS P/D LN MODS TO BRWRS EXP FIN DFCLTY AUTO,UNASSIGNED,0.0033
P9RSCI,FTS,90+ P/D LN MODS TO BRWRS EXP FIN DFCLTY - C&I LN,UNASSIGNED,0.0033
P9RSCIUS,FTS,90+ P/D LN MODS BRWRS EXP FIN DFCLTY - C&I US,UNASSIGNED,0.0033
P9RSCNFM,FTS,90+ P/D LN MODS BRW EXP FIN DFCLTY - 1-4 FM CONST,UNASSIGNED,0.0033
P9RSCNOT,FTS,90+ P/D LN MODS BRW EXP FIN DFCLTY - OTH CONST&LND,UNASSIGNED,0.0033
P9RSCONO,FTS,90+ P/D LN MODS BRWR EXP FIN DFCLTY - OTH CONSUMER,UNASSIGNED,0.0033
P9RSCRCD,FTS,90+ D P/D LN MODS TO BRWRS EXP FIN DFCLTY CR CARD,UNASSIGNED,0.0033
P9RSLNFM,FTS,90+ DAYS P/D LN MODS BRWR EXP FIN DFCLTY - 1-4 FAM,UNASSIGNED,0.0033
P9RSLNLS,FTS,90+ DAY P/D RESTRU LN EXCL 1-4 FM,UNASSIGNED,0.0033
P9RSLNTL,FTS,90+ DAY P/D LN MODS TO BRWRS EXP FIN DFCLTY-TOT,UNASSIGNED,0.1211
P9RSMULT,FTS,90+ P/D LN MODS BRWRS EXP FIN DFCLTY - MULTIFAM,UNASSIGNED,0.0033
P9RSNROT,FTS,90+ P/D LN MODS BRWRS EXP FIN DFCLTY - OTHER NFNR,UNASSIGNED,0.0033
P9RSNROW,FTS,90+ P/D LN MODS BRWR EXP FIN DFCLTY - NFNR OWN-OCC,UNASSIGNED,0.0033
P9RSOTH,FTS,90+ P/D LN MODS BRWRS EXP FIN DFCLTY - ALL OTH LN,UNASSIGNED,0.0033
P9RSREAG,FTS,90+ P/D LN MODS TO BRWR EXP FIN DFCLTY - RE FARM,UNASSIGNED,0.0033
P9SCDEBT,FTS,90+ DAYS P/D-DEBT SECURITIES,S,0.0032
PARCERT,FTS,PARENT CERTIFICATE NUMBER,UNASSIGNED,0.0
PM,FTS,PRECIOUS METALS,UNASSIGNED,0.0034
PM1LES,FTS,PRECIOUS METALS-1 YEAR OR LESS,UNASSIGNED,0.0034
PM1T5,FTS,PRECIOUS METALS-1 TO 5 YEARS,UNASSIGNED,0.0034
PMOVR1,FTS,PRECIOUS METALS-OVER 1 YEAR,UNASSIGNED,0.0034
PMOVR5,FTS,PRECIOUS METALS-OVER 5 YEARS,UNASSIGNED,0.0034
PPPLF1LS,FTS,PPPLF BAL - 1 YR OR LESS,UNASSIGNED,0.4701
PPPLFOV1,FTS,PPPLF BAL - OVER 1 YR,UNASSIGNED,0.4701
PPPLNBAL,FTS,PPP LOAN - BAL,UNASSIGNED,0.4684
PPPLNNUM,FTS,PPP LOAN - NUM,UNASSIGNED,0.4701
PPPLNPLG,FTS,PPP LN PLEDGED TO PPPLF - BAL,UNASSIGNED,0.4701
PUSHDTE,FTS,PUSH DOWN ACCOUNTING CHANGE DTE,UNASSIGNED,0.0032
RANKALL,FTS,,UNASSIGNED,0.0132
RANKCOML,FTS,,UNASSIGNED,0.1386
RB2LNRES,FTS,ALLOWANCE FOR CREDIT L&L IN TIER 2,C,0.0033
RBASTDL,FTS,LEVERAGE CAPITAL ASSET DEDUCT,C,0.0032
RBAVASST,FTS,TOTAL ASSETS - RC-R,UNASSIGNED,0.0032
RBCCCB,FTS,CAP CONSER BUFFER-DIVIDE TO USE,UNASSIGNED,0.0033
RBCCX,FTS,CR EXPOSURE-DERIVATIVES,S,0.0034
RBCDIST,FTS,DISTRIBUT & BONUS PAYMENT-QTR,UNASSIGNED,0.0034
RBCEQUP,FTS,RETAINED EARNINGS - RBC,C,0.3418
RBCERI,FTS,ELIGIBLE RETAINED INCOME,E,0.0034
RBCLNRSW,FTS,EXCESS L/L RESERVE - REPORTED,UNASSIGNED,0.0033
RBCT1ADD,FTS,RC-R ADDITIONAL TIER1 CAPITAL,C,0.0032
RBCT1C,FTS,RC-R COMMON EQ TIER 1 CAPITAL,C,0.0032
RBCT1W,FTS,TIER 1 CAPITAL - REPORTED,C,0.0032
RBCT2T,FTS,TOTAL TIER 2 CAPITAL,C,0.0033
RBCT2W,FTS,TIER 2 CAPITAL - REPORTED,C,0.0033
RBCW,FTS,TOTAL RISK BASED CAP-REPORTED,UNASSIGNED,0.0033
RBOTHDL,FTS,OTH LEVERAGE CAPITAL ADD/DEDUCT,C,0.0032
RCR34A,FTS,RCR46A,UNASSIGNED,0.0033
RCR40A,FTS,RCR48A,UNASSIGNED,0.0033
RCR41A,FTS,RCR 49A DIVIDE TO USE-SEE NOTE,UNASSIGNED,0.0033
RCR42A,FTS,RCR 50A DIVIDE TO USE-SEE NOTE,UNASSIGNED,0.0033
RCR43A,FTS,RCR 51A DIVIDE TO USE-SEE NOTE,UNASSIGNED,0.0033
REM100,FTS,CONSUMER REM ABROAD GT 100 YR,E,0.4591
